source,source_id,country,state,city,road_name,latitude,longitude,camera_type,enforcement_type,speed_limit,status,verification_status,source_url
India Speed Camera Dataset,IND-SP-0023,India,Odisha,Bhubaneswar,Janpath Road,20.296100,85.824500,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0024,India,Madhya Pradesh,Indore,AB Road,22.719600,75.857700,Speed Camera,Speed Enforcement,60,active,pending,
India Speed Camera Dataset,IND-SP-0025,India,Maharashtra,Pune,Mumbai-Pune Highway,18.520400,73.856700,Speed Camera,Speed Enforcement,60,active,pending,
India Speed Camera Dataset,IND-SP-0026,India,Uttar Pradesh,Lucknow,Shaheed Path,26.846700,80.946200,Speed Camera,Speed Enforcement,60,active,pending,
India Speed Camera Dataset,IND-SP-0027,India,Uttar Pradesh,Noida,Noida-Greater Noida Expressway,28.535500,77.391000,Speed Camera,Speed Enforcement,100,active,pending,
India Speed Camera Dataset,IND-SP-0028,India,Haryana,Gurugram,Delhi-Gurugram Expressway,28.459500,77.026600,Speed Camera,Speed Enforcement,80,active,pending,
India Speed Camera Dataset,IND-SP-0029,India,Haryana,Faridabad,Mathura Road,28.408900,77.317800,Speed Camera,Speed Enforcement,60,active,pending,
India Speed Camera Dataset,IND-SP-0030,India,Rajasthan,Udaipur,National Highway 48,24.585400,73.712500,Speed Camera,Speed Enforcement,80,active,pending,
India Speed Camera Dataset,IND-SP-0031,India,Goa,Panaji,Dr Jack de Sequeira Road,15.490900,73.827800,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0032,India,Bihar,Patna,Bailey Road,25.594100,85.137600,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0033,India,Jharkhand,Ranchi,Main Road,23.344100,85.309600,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0034,India,Chhattisgarh,Raipur,GE Road,21.251400,81.629600,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0035,India,Assam,Guwahati,GS Road,26.144500,91.736200,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0036,India,Uttarakhand,Dehradun,Rajpur Road,30.316500,78.032200,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0037,India,Punjab,Ludhiana,Ferozepur Road,30.900000,75.857300,Speed Camera,Speed Enforcement,60,active,pending,
India Speed Camera Dataset,IND-SP-0038,India,Punjab,Amritsar,GT Road,31.634000,74.872300,Speed Camera,Speed Enforcement,60,active,pending,
India Speed Camera Dataset,IND-SP-0039,India,Uttar Pradesh,Agra,Agra-Lucknow Expressway,27.176700,78.008100,Speed Camera,Speed Enforcement,100,active,pending,
India Speed Camera Dataset,IND-SP-0040,India,Uttar Pradesh,Kanpur,GT Road,26.449900,80.331900,Speed Camera,Speed Enforcement,60,active,pending
